#Text=Über Bord gegangen ist damit die allgemeine Erklärung der Menschenrechte , nicht als unmittelbar praktikable Vorstellung , die sie im übrigen nie war , sondern sogar als Ideal - ohne die jedoch die vollentwickelte Apartheid weltweit der einzig logische Schluß sein kann : eine Vorstellung , die Khomeini bestimmt freudig begrüßen würde .
1-1	0-4	Über	*->1-1	non-literal-mwe[1]	
41-1	21988-21989	"	_	_	
41-2	21990-21995	Thank	_	_	
41-3	21996-21999	God	_	_	
41-4	22000-22004	that	_	_	
41-5	22005-22012	Maxwell	_	_	
41-6	22013-22019	became	_	_	
41-7	22020-22021	a	_	_	
41-8	22022-22030	floating	_	_	
41-9	22031-22036	issue	_	_	
41-10	22037-22044	himself	_	_	
41-11	22045-22046	"	_	_	
41-12	22047-22048	,	_	_	
41-13	22049-22055	befand	_	_	
41-14	22056-22066	jedenfalls	_	_	
41-15	22067-22070	der	_	_	
41-16	22071-22072	'	_	_	
41-17	22073-22078	Index	_	_	
41-18	22079-22080	`	_	_	
41-19	22081-22082	-	_	_	
41-20	22083-22096	Chefredakteur	_	_	
41-21	22097-22098	,	_	_	
41-22	22099-22102	auf	_	_	
41-23	22103-22106	den	_	_	
41-24	22107-22110	Tod	_	_	
41-25	22111-22114	des	_	_	
41-26	22115-22119	über	*->21-1	non-literal[21]	
41-27	22120-22124	Bord	*->21-2	*[21]	
41-28	22125-22131	seiner	_	_	
41-29	22132-22139	eigenen	*->21-3	*[21]	
41-30	22140-22150	Luxusjacht	_	_	
41-31	22151-22161	gegangenen	_	_	
41-32	22162-22173	Pressezaren	_	_	
41-33	22174-22184	anspielend	_	_	
41-34	22185-22186	.	_	_	

#Text=Der Pressekrieg wurde vor zwei Wochen vom Daily Mirror eröffnet , der tief in den roten Zahlen schwimmt , seit sein Verleger Robert Maxwell über Bord gegangen ist - und mit ihm die Pensionskasse .
43-1	22880-22883	Der	_	_	
43-2	22884-22895	Pressekrieg	_	_	
43-3	22896-22901	wurde	_	_	
43-4	22902-22905	vor	_	_	
43-5	22906-22910	zwei	_	_	
43-6	22911-22917	Wochen	_	_	
43-7	22918-22921	vom	_	_	
43-8	22922-22927	Daily	_	_	
43-9	22928-22934	Mirror	_	_	
43-10	22935-22943	eröffnet	_	_	
43-11	22944-22945	,	_	_	
43-12	22946-22949	der	_	_	
43-13	22950-22954	tief	_	_	
43-14	22955-22957	in	_	_	
43-15	22958-22961	den	_	_	
43-16	22962-22967	roten	_	_	
43-17	22968-22974	Zahlen	_	_	
43-18	22975-22983	schwimmt	_	_	
43-19	22984-22985	,	_	_	
43-20	22986-22990	seit	_	_	
43-21	22991-22995	sein	_	_	
43-22	22996-23004	Verleger	_	_	
43-23	23005-23011	Robert	_	_	
43-24	23012-23019	Maxwell	_	_	
43-25	23020-23024	über	*->22-1	non-literal[22]	
43-26	23025-23029	Bord	*->22-2	*[22]	
43-27	23030-23038	gegangen	*->22-3	*[22]	
43-28	23039-23042	ist	_	_	
43-29	23043-23044	-	_	_	
43-30	23045-23048	und	_	_	
43-31	23049-23052	mit	_	_	
43-32	23053-23056	ihm	_	_	
43-33	23057-23060	die	_	_	
43-34	23061-23074	Pensionskasse	_	_	
43-35	23075-23076	.	_	_	

#Text=Vor der ostfriesischen Insel Wangerooge ging abends ein 45jähriger Mann über Bord einer in Seenot geratenen Segelyacht .
45-1	23846-23849	Vor	_	_	
45-2	23850-23853	der	_	_	
45-3	23854-23868	ostfriesischen	_	_	
45-4	23869-23874	Insel	_	_	
45-5	23875-23885	Wangerooge	_	_	
45-6	23886-23890	ging	*->23-1	non-literal[23]	
45-7	23891-23897	abends	_	_	
45-8	23898-23901	ein	_	_	
45-9	23902-23912	45jähriger	_	_	
45-10	23913-23917	Mann	_	_	
45-11	23918-23922	über	*->23-2	*[23]	
45-12	23923-23927	Bord	*->23-3	*[23]	
45-13	23928-23933	einer	_	_	
45-14	23934-23936	in	_	_	
45-15	23937-23943	Seenot	_	_	
45-16	23944-23953	geratenen	_	_	
45-17	23954-23964	Segelyacht	_	_	
45-18	23965-23966	.	_	_	

#Text=Eine weise Lösung wäre die Anhörung nur gewesen , insofern sie den streitenden Partnern hilft , das Gesicht zu wahren und zu einer konkreten Entscheidung zu finden - und nicht zugleich die Maßstäbe sorgfältiger Prüfung über Bord gehen .
47-1	24256-24260	Eine	_	_	
47-2	24261-24266	weise	_	_	
47-3	24267-24273	Lösung	_	_	
47-4	24274-24278	wäre	_	_	
47-5	24279-24282	die	_	_	
47-6	24283-24291	Anhörung	_	_	
47-7	24292-24295	nur	_	_	
47-8	24296-24303	gewesen	_	_	
47-9	24304-24305	,	_	_	
47-10	24306-24314	insofern	_	_	
47-11	24315-24318	sie	_	_	
47-12	24319-24322	den	_	_	
47-13	24323-24334	streitenden	_	_	
47-14	24335-24343	Partnern	_	_	
47-15	24344-24349	hilft	_	_	
47-16	24350-24351	,	_	_	
47-17	24352-24355	das	_	_	
47-18	24356-24363	Gesicht	_	_	
47-19	24364-24366	zu	_	_	
47-20	24367-24373	wahren	_	_	
47-21	24374-24377	und	_	_	
47-22	24378-24380	zu	_	_	
47-23	24381-24386	einer	_	_	
47-24	24387-24396	konkreten	_	_	
47-25	24397-24409	Entscheidung	_	_	
47-26	24410-24412	zu	_	_	
47-27	24413-24419	finden	_	_	
47-28	24420-24421	-	_	_	
47-29	24422-24425	und	_	_	
47-30	24426-24431	nicht	_	_	
47-31	24432-24440	zugleich	_	_	
47-32	24441-24444	die	_	_	
47-33	24445-24453	Maßstäbe	_	_	
47-34	24454-24466	sorgfältiger	_	_	
47-35	24467-24474	Prüfung	_	_	
47-36	24475-24479	über	*->24-1	non-literal-mwe[24]	
47-37	24480-24484	Bord	*->24-2	*[24]	
47-38	24485-24490	gehen	*->24-3	*[24]	
47-39	24491-24492	.	_	_	

#Text=Müssen alle Hemmungen über Bord gehen bei der Aussicht auf fette Gewinne ?
49-1	26352-26358	Müssen	_	_	
49-2	26359-26363	alle	_	_	
49-3	26364-26373	Hemmungen	_	_	
49-4	26374-26378	über	*->25-1	non-literal-mwe[25]	
49-5	26379-26383	Bord	*->25-2	*[25]	
49-6	26384-26389	gehen	*->25-3	*[25]	
49-7	26390-26393	bei	_	_	
49-8	26394-26397	der	_	_	
49-9	26398-26406	Aussicht	_	_	
49-10	26407-26410	auf	_	_	
49-11	26411-26416	fette	_	_	
49-12	26417-26424	Gewinne	_	_	
49-13	26425-26426	?	_	_	

#Text=Wir müssen nur sichern , daß die materielle Sicherheit der Menschen dabei nicht über Bord geht , wie die FDP es will .
51-1	26866-26869	Wir	_	_	
51-2	26870-26876	müssen	_	_	
51-3	26877-26880	nur	_	_	
51-4	26881-26888	sichern	_	_	
51-5	26889-26890	,	_	_	
51-6	26891-26894	daß	_	_	
51-7	26895-26898	die	_	_	
51-8	26899-26909	materielle	_	_	
51-9	26910-26920	Sicherheit	_	_	
51-10	26921-26924	der	_	_	
51-11	26925-26933	Menschen	_	_	
51-12	26934-26939	dabei	_	_	
51-13	26940-26945	nicht	_	_	
51-14	26946-26950	über	*->26-1	non-literal-mwe[26]	
51-15	26951-26955	Bord	*->26-2	*[26]	
51-16	26956-26960	geht	*->26-3	*[26]	
51-17	26961-26962	,	_	_	
51-18	26963-26966	wie	_	_	
51-19	26967-26970	die	_	_	
51-20	26971-26974	FDP	_	_	
51-21	26975-26977	es	_	_	
51-22	26978-26982	will	_	_	
51-23	26983-26984	.	_	_	

#Text=Seine Fans hätten es allerdings lieber gesehen , Jim Bowie hätte seine edle Klinge behalten und die schartigen Damen über Bord gehen lassen , berichtet das Western-Lexikon von Joe Hembus und anempfiehlt sich damit der frauenfreundlichen Sexismus-Kommission zur Lektüre .
53-1	28043-28048	Seine	_	_	
53-2	28049-28053	Fans	_	_	
53-3	28054-28060	hätten	_	_	
53-4	28061-28063	es	_	_	
53-5	28064-28074	allerdings	_	_	
53-6	28075-28081	lieber	_	_	
53-7	28082-28089	gesehen	_	_	
53-8	28090-28091	,	_	_	
53-9	28092-28095	Jim	_	_	
53-10	28096-28101	Bowie	_	_	
53-11	28102-28107	hätte	_	_	
53-12	28108-28113	seine	_	_	
53-13	28114-28118	edle	_	_	
53-14	28119-28125	Klinge	_	_	
53-15	28126-28134	behalten	_	_	
53-16	28135-28138	und	_	_	
53-17	28139-28142	die	_	_	
53-18	28143-28153	schartigen	_	_	
53-19	28154-28159	Damen	_	_	
53-20	28160-28164	über	*->27-1	non-literal-mwe[27]	
53-21	28165-28169	Bord	*->27-2	*[27]	
53-22	28170-28175	gehen	*->27-3	*[27]	
53-23	28176-28182	lassen	_	_	
53-24	28183-28184	,	_	_	
53-25	28185-28194	berichtet	_	_	
53-26	28195-28198	das	_	_	
53-27	28199-28214	Western-Lexikon	_	_	
53-28	28215-28218	von	_	_	
53-29	28219-28222	Joe	_	_	
53-30	28223-28229	Hembus	_	_	
53-31	28230-28233	und	_	_	
53-32	28234-28245	anempfiehlt	_	_	
53-33	28246-28250	sich	_	_	
53-34	28251-28256	damit	_	_	
53-35	28257-28260	der	_	_	
53-36	28261-28279	frauenfreundlichen	_	_	
53-37	28280-28299	Sexismus-Kommission	_	_	
53-38	28300-28303	zur	_	_	
53-39	28304-28311	Lektüre	_	_	
53-40	28312-28313	.	_	_	

#Text=Der in den USA von Ken Annakin ( " Die tollkühnen Männer in ihren fliegenden Kisten " ) gedrehte Streifen " Pippi Langstrumpfs neueste Streiche " macht dieses Dilemma deutlich : In der ersten Szene geht Pippi über Bord der " Hoppetosse " und brüllt : " Papa , ich hab Angst !
55-1	28998-29001	Der	_	_	
55-2	29002-29004	in	_	_	
55-3	29005-29008	den	_	_	
55-4	29009-29012	USA	_	_	
55-5	29013-29016	von	_	_	
55-6	29017-29020	Ken	_	_	
55-7	29021-29028	Annakin	_	_	
55-8	29029-29030	(	_	_	
55-9	29031-29032	"	_	_	
55-10	29033-29036	Die	_	_	
55-11	29037-29047	tollkühnen	_	_	
55-12	29048-29054	Männer	_	_	
55-13	29055-29057	in	_	_	
55-14	29058-29063	ihren	_	_	
55-15	29064-29074	fliegenden	_	_	
55-16	29075-29081	Kisten	_	_	
55-17	29082-29083	"	_	_	
55-18	29084-29085	)	_	_	
55-19	29086-29094	gedrehte	_	_	
55-20	29095-29103	Streifen	_	_	
55-21	29104-29105	"	_	_	
55-22	29106-29111	Pippi	_	_	
55-23	29112-29124	Langstrumpfs	_	_	
55-24	29125-29132	neueste	_	_	
55-25	29133-29141	Streiche	_	_	
55-26	29142-29143	"	_	_	
55-27	29144-29149	macht	_	_	
55-28	29150-29156	dieses	_	_	
55-29	29157-29164	Dilemma	_	_	
55-30	29165-29173	deutlich	_	_	
55-31	29174-29175	:	_	_	
55-32	29176-29178	In	_	_	
55-33	29179-29182	der	_	_	
55-34	29183-29189	ersten	_	_	
55-35	29190-29195	Szene	_	_	
55-36	29196-29200	geht	*->28-1	non-literal[28]	
55-37	29201-29206	Pippi	_	_	
55-38	29207-29211	über	*->28-2	*[28]	
55-39	29212-29216	Bord	*->28-3	*[28]	
55-40	29217-29220	der	_	_	
55-41	29221-29222	"	_	_	
55-42	29223-29233	Hoppetosse	_	_	
55-43	29234-29235	"	_	_	
55-44	29236-29239	und	_	_	
55-45	29240-29246	brüllt	_	_	
55-46	29247-29248	:	_	_	
55-47	29249-29250	"	_	_	
55-48	29251-29255	Papa	_	_	
55-49	29256-29257	,	_	_	
55-50	29258-29261	ich	_	_	
55-51	29262-29265	hab	_	_	
55-52	29266-29271	Angst	_	_	
55-53	29272-29273	!	_	_	

#Text=In Emlichheim in Ostfriesland trafen sich Junkies aus der ganzen Bundesrepublik , um ihre Erfahrungen mit dem Ersatzstoff Methadon auszutauschen / Die Aids-Angst läßt bei den Ämtern zwar geheiligte Bedenken über Bord gehen , doch das Ziel ist nicht die Hilfe für die Süchtigen , sondern " Schutz " der Gesellschaft
57-1	29784-29786	In	_	_	
57-2	29787-29797	Emlichheim	_	_	
57-3	29798-29800	in	_	_	
57-4	29801-29813	Ostfriesland	_	_	
57-5	29814-29820	trafen	_	_	
57-6	29821-29825	sich	_	_	
57-7	29826-29833	Junkies	_	_	
57-8	29834-29837	aus	_	_	
57-9	29838-29841	der	_	_	
57-10	29842-29848	ganzen	_	_	
57-11	29849-29863	Bundesrepublik	_	_	
57-12	29864-29865	,	_	_	
57-13	29866-29868	um	_	_	
57-14	29869-29873	ihre	_	_	
57-15	29874-29885	Erfahrungen	_	_	
57-16	29886-29889	mit	_	_	
57-17	29890-29893	dem	_	_	
57-18	29894-29905	Ersatzstoff	_	_	
57-19	29906-29914	Methadon	_	_	
57-20	29915-29928	auszutauschen	_	_	
57-21	29929-29930	/	_	_	
57-22	29931-29934	Die	_	_	
57-23	29935-29945	Aids-Angst	_	_	
57-24	29946-29950	läßt	_	_	
57-25	29951-29954	bei	_	_	
57-26	29955-29958	den	_	_	
57-27	29959-29965	Ämtern	_	_	
57-28	29966-29970	zwar	_	_	
57-29	29971-29981	geheiligte	_	_	
57-30	29982-29990	Bedenken	_	_	
57-31	29991-29995	über	*->29-1	non-literal-mwe[29]	
57-32	29996-30000	Bord	*->29-2	*[29]	
57-33	30001-30006	gehen	*->29-3	*[29]	
57-34	30007-30008	,	_	_	
57-35	30009-30013	doch	_	_	
57-36	30014-30017	das	_	_	
57-37	30018-30022	Ziel	_	_	
57-38	30023-30026	ist	_	_	
57-39	30027-30032	nicht	_	_	
57-40	30033-30036	die	_	_	
57-41	30037-30042	Hilfe	_	_	
57-42	30043-30046	für	_	_	
57-43	30047-30050	die	_	_	
57-44	30051-30060	Süchtigen	_	_	
57-45	30061-30062	,	_	_	
57-46	30063-30070	sondern	_	_	
57-47	30071-30072	"	_	_	
57-48	30073-30079	Schutz	_	_	
57-49	30080-30081	"	_	_	
57-50	30082-30085	der	_	_	
57-51	30086-30098	Gesellschaft	_	_	

#Text=Dabei gehen schon einige Mülltonnen ganz normal über Bord ; die ' New York Times ` spricht von einer Tonne pro Schiffsladung .
59-1	30414-30419	Dabei	_	_	
59-2	30420-30425	gehen	*->30-1	non-literal[30]	
59-3	30426-30431	schon	_	_	
59-4	30432-30438	einige	_	_	
59-5	30439-30449	Mülltonnen	_	_	
59-6	30450-30454	ganz	_	_	
59-7	30455-30461	normal	_	_	
59-8	30462-30466	über	*->30-2	*[30]	
59-9	30467-30471	Bord	*->30-3	*[30]	
59-10	30472-30473	;	_	_	
59-11	30474-30477	die	_	_	
59-12	30478-30479	'	_	_	
59-13	30480-30483	New	_	_	
59-14	30484-30488	York	_	_	
59-15	30489-30494	Times	_	_	
59-16	30495-30496	`	_	_	
59-17	30497-30504	spricht	_	_	
59-18	30505-30508	von	_	_	
59-19	30509-30514	einer	_	_	
59-20	30515-30520	Tonne	_	_	
59-21	30521-30524	pro	_	_	
59-22	30525-30538	Schiffsladung	_	_	
59-23	30539-30540	.	_	_	

#Text=Jetzt geht der " Lotse " ( Degussa über Degussa ) von Bord .
61-1	31315-31320	Jetzt	_	_	
61-2	31321-31325	geht	*->31-1	non-literal-mwe[31]	
61-3	31326-31329	der	_	_	
61-4	31330-31331	"	_	_	
61-5	31332-31337	Lotse	_	_	
61-6	31338-31339	"	_	_	
61-7	31340-31341	(	_	_	
61-8	31342-31349	Degussa	_	_	
61-9	31350-31354	über	_	_	
61-10	31355-31362	Degussa	_	_	
61-11	31363-31364	)	_	_	
61-12	31365-31368	von	*->31-2	*[31]	
61-13	31369-31373	Bord	*->31-3	*[31]	
61-14	31374-31375	.	_	_	

#Text=Doch schon nach wenigen Kilo metern Fahrt kenterte das Boot , und die Passagiere gingen über Bord .
63-1	33004-33008	Doch	_	_	
63-2	33009-33014	schon	_	_	
63-3	33015-33019	nach	_	_	
63-4	33020-33027	wenigen	_	_	
63-5	33028-33032	Kilo	_	_	
63-6	33033-33039	metern	_	_	
63-7	33040-33045	Fahrt	_	_	
63-8	33046-33054	kenterte	_	_	
63-9	33055-33058	das	_	_	
63-10	33059-33063	Boot	_	_	
63-11	33064-33065	,	_	_	
63-12	33066-33069	und	_	_	
63-13	33070-33073	die	_	_	
63-14	33074-33084	Passagiere	_	_	
63-15	33085-33091	gingen	*->32-1	non-literal[32]	
63-16	33092-33096	über	*->32-2	*[32]	
63-17	33097-33101	Bord	*->32-3	*[32]	
63-18	33102-33103	.	_	_	

#Text=Seit im April letzten Jahres der Wettbewerb um die freie Frequenz begann , ist manches über Bord gegangen , was vorher als unverzichtbar galt .
65-1	36903-36907	Seit	_	_	
65-2	36908-36910	im	_	_	
65-3	36911-36916	April	_	_	
65-4	36917-36924	letzten	_	_	
65-5	36925-36931	Jahres	_	_	
65-6	36932-36935	der	_	_	
65-7	36936-36946	Wettbewerb	_	_	
65-8	36947-36949	um	_	_	
65-9	36950-36953	die	_	_	
65-10	36954-36959	freie	_	_	
65-11	36960-36968	Frequenz	_	_	
65-12	36969-36975	begann	_	_	
65-13	36976-36977	,	_	_	
65-14	36978-36981	ist	_	_	
65-15	36982-36989	manches	_	_	
65-16	36990-36994	über	*->33-1	non-literal-mwe[33]	
65-17	36995-36999	Bord	*->33-2	*[33]	
65-18	37000-37008	gegangen	*->33-3	*[33]	
65-19	37009-37010	,	_	_	
65-20	37011-37014	was	_	_	
65-21	37015-37021	vorher	_	_	
65-22	37022-37025	als	_	_	
65-23	37026-37039	unverzichtbar	_	_	
65-24	37040-37044	galt	_	_	
65-25	37045-37046	.	_	_	

#Text=Daß aber diese Prinzipien über Bord gehen konnten , ist ganz einfach zu erklären .
67-1	41626-41629	Daß	_	_	
67-2	41630-41634	aber	_	_	
67-3	41635-41640	diese	_	_	
67-4	41641-41651	Prinzipien	_	_	
67-5	41652-41656	über	*->34-1	non-literal-mwe[34]	
67-6	41657-41661	Bord	*->34-2	*[34]	
67-7	41662-41667	gehen	*->34-3	*[34]	
67-8	41668-41675	konnten	_	_	
67-9	41676-41677	,	_	_	
67-10	41678-41681	ist	_	_	
67-11	41682-41686	ganz	_	_	
67-12	41687-41694	einfach	_	_	
67-13	41695-41697	zu	_	_	
67-14	41698-41706	erklären	_	_	
67-15	41707-41708	.	_	_	

#Text=Mir ging es darum , den Prozeß in einer isolierten Gruppe im Untergrund zu beschreiben - wie der Idealismus über Bord geht und der nackte Überlebenskampf dominiert .
69-1	44173-44176	Mir	_	_	
69-2	44177-44181	ging	_	_	
69-3	44182-44184	es	_	_	
69-4	44185-44190	darum	_	_	
69-5	44191-44192	,	_	_	
69-6	44193-44196	den	_	_	
69-7	44197-44203	Prozeß	_	_	
69-8	44204-44206	in	_	_	
69-9	44207-44212	einer	_	_	
69-10	44213-44223	isolierten	_	_	
69-11	44224-44230	Gruppe	_	_	
69-12	44231-44233	im	_	_	
69-13	44234-44244	Untergrund	_	_	
69-14	44245-44247	zu	_	_	
69-15	44248-44259	beschreiben	_	_	
69-16	44260-44261	-	_	_	
69-17	44262-44265	wie	_	_	
69-18	44266-44269	der	_	_	
69-19	44270-44280	Idealismus	_	_	
69-20	44281-44285	über	*->35-1	non-literal-mwe[35]	
69-21	44286-44290	Bord	*->35-2	*[35]	
69-22	44291-44295	geht	*->35-3	*[35]	
69-23	44296-44299	und	_	_	
69-24	44300-44303	der	_	_	
69-25	44304-44310	nackte	_	_	
69-26	44311-44326	Überlebenskampf	_	_	
69-27	44327-44336	dominiert	_	_	
69-28	44337-44338	.	_	_	

#Text=Den Gesamtschaden inklusive Einnahmeausfall bezifferte die Stern- und Kreisschiffahrt auf rund 18.000 Mark : 29 Stühle , rund 120 Biergläser , 170 Besteckteile und über 50 Aschenbecher seien über Bord oder zu Bruch gegangen , Außenreling Backbord und Herrentoilette seien demoliert worden .
71-1	52679-52682	Den	_	_	
71-2	52683-52696	Gesamtschaden	_	_	
71-3	52697-52706	inklusive	_	_	
71-4	52707-52722	Einnahmeausfall	_	_	
71-5	52723-52733	bezifferte	_	_	
71-6	52734-52737	die	_	_	
71-7	52738-52744	Stern-	_	_	
71-8	52745-52748	und	_	_	
71-9	52749-52764	Kreisschiffahrt	_	_	
71-10	52765-52768	auf	_	_	
71-11	52769-52773	rund	_	_	
71-12	52774-52780	18.000	_	_	
71-13	52781-52785	Mark	_	_	
71-14	52786-52787	:	_	_	
71-15	52788-52790	29	_	_	
71-16	52791-52797	Stühle	_	_	
71-17	52798-52799	,	_	_	
71-18	52800-52804	rund	_	_	
71-19	52805-52808	120	_	_	
71-20	52809-52819	Biergläser	_	_	
71-21	52820-52821	,	_	_	
71-22	52822-52825	170	_	_	
71-23	52826-52838	Besteckteile	_	_	
71-24	52839-52842	und	_	_	
71-25	52843-52847	über	_	_	
71-26	52848-52850	50	_	_	
71-27	52851-52863	Aschenbecher	_	_	
71-28	52864-52869	seien	_	_	
71-29	52870-52874	über	*->36-1	non-literal[36]	
71-30	52875-52879	Bord	*->36-2	*[36]	
71-31	52880-52884	oder	_	_	
71-32	52885-52887	zu	_	_	
71-33	52888-52893	Bruch	_	_	
71-34	52894-52902	gegangen	*->36-3	*[36]	
71-35	52903-52904	,	_	_	
71-36	52905-52916	Außenreling	_	_	
71-37	52917-52925	Backbord	_	_	
71-38	52926-52929	und	_	_	
71-39	52930-52944	Herrentoilette	_	_	
71-40	52945-52950	seien	_	_	
71-41	52951-52960	demoliert	_	_	
71-42	52961-52967	worden	_	_	
71-43	52968-52969	.	_	_	

#Text=Und Freude auch darüber , daß der ganze " ideologische Ballast " in der Marx-Forschung endlich über Bord gegangen ist und die Archive offenstehen : " Marx in seiner Zeit sehen - als historische Figur .
73-1	54774-54777	Und	_	_	
73-2	54778-54784	Freude	_	_	
73-3	54785-54789	auch	_	_	
73-4	54790-54797	darüber	_	_	
73-5	54798-54799	,	_	_	
73-6	54800-54803	daß	_	_	
73-7	54804-54807	der	_	_	
73-8	54808-54813	ganze	_	_	
73-9	54814-54815	"	_	_	
73-10	54816-54828	ideologische	_	_	
73-11	54829-54836	Ballast	_	_	
73-12	54837-54838	"	_	_	
73-13	54839-54841	in	_	_	
73-14	54842-54845	der	_	_	
73-15	54846-54860	Marx-Forschung	_	_	
73-16	54861-54868	endlich	_	_	
73-17	54869-54873	über	*->37-1	non-literal-mwe[37]	
73-18	54874-54878	Bord	*->37-2	*[37]	
73-19	54879-54887	gegangen	*->37-3	*[37]	
73-20	54888-54891	ist	_	_	
73-21	54892-54895	und	_	_	
73-22	54896-54899	die	_	_	
73-23	54900-54907	Archive	_	_	
73-24	54908-54919	offenstehen	_	_	
73-25	54920-54921	:	_	_	
73-26	54922-54923	"	_	_	
73-27	54924-54928	Marx	_	_	
73-28	54929-54931	in	_	_	
73-29	54932-54938	seiner	_	_	
73-30	54939-54943	Zeit	_	_	
73-31	54944-54949	sehen	_	_	
73-32	54950-54951	-	_	_	
73-33	54952-54955	als	_	_	
73-34	54956-54967	historische	_	_	
73-35	54968-54973	Figur	_	_	
73-36	54974-54975	.	_	_	

#Text=Die alten Werte wackeln , vertraute Wahrheiten gehen über Bord .
75-1	55829-55832	Die	_	_	
75-2	55833-55838	alten	_	_	
75-3	55839-55844	Werte	_	_	
75-4	55845-55852	wackeln	_	_	
75-5	55853-55854	,	_	_	
75-6	55855-55864	vertraute	_	_	
75-7	55865-55875	Wahrheiten	_	_	
75-8	55876-55881	gehen	*->38-1	non-literal-mwe[38]	
75-9	55882-55886	über	*->38-2	*[38]	
75-10	55887-55891	Bord	*->38-3	*[38]	
75-11	55892-55893	.	_	_	

#Text=Kaempfe : Wir historisieren unsere Stücke nicht , sondern Übersetzen sie im wahrsten Sinne des Wortes : Wenn jemand Macht will , geht jedes andere Prinzip über Bord .
77-1	56377-56384	Kaempfe	_	_	
77-2	56385-56386	:	_	_	
77-3	56387-56390	Wir	_	_	
77-4	56391-56404	historisieren	_	_	
77-5	56405-56411	unsere	_	_	
77-6	56412-56418	Stücke	_	_	
77-7	56419-56424	nicht	_	_	
77-8	56425-56426	,	_	_	
77-9	56427-56434	sondern	_	_	
77-10	56435-56445	Übersetzen	_	_	
77-11	56446-56449	sie	_	_	
77-12	56450-56452	im	_	_	
77-13	56453-56461	wahrsten	_	_	
77-14	56462-56467	Sinne	_	_	
77-15	56468-56471	des	_	_	
77-16	56472-56478	Wortes	_	_	
77-17	56479-56480	:	_	_	
77-18	56481-56485	Wenn	_	_	
77-19	56486-56492	jemand	_	_	
77-20	56493-56498	Macht	_	_	
77-21	56499-56503	will	_	_	
77-22	56504-56505	,	_	_	
77-23	56506-56510	geht	*->39-1	non-literal-mwe[39]	
77-24	56511-56516	jedes	_	_	
77-25	56517-56523	andere	_	_	
77-26	56524-56531	Prinzip	_	_	
77-27	56532-56536	über	*->39-2	*[39]	
77-28	56537-56541	Bord	*->39-3	*[39]	
77-29	56542-56543	.	_	_	

#Text=Da alle vier weißen Bauern isoliert stehen , sich also nicht mehr gegenseitig decken können , geht nun einer nach dem anderen über Bord .
79-1	56711-56713	Da	_	_	
79-2	56714-56718	alle	_	_	
79-3	56719-56723	vier	_	_	
79-4	56724-56730	weißen	_	_	
79-5	56731-56737	Bauern	_	_	
79-6	56738-56746	isoliert	_	_	
79-7	56747-56753	stehen	_	_	
79-8	56754-56755	,	_	_	
79-9	56756-56760	sich	_	_	
79-10	56761-56765	also	_	_	
79-11	56766-56771	nicht	_	_	
79-12	56772-56776	mehr	_	_	
79-13	56777-56788	gegenseitig	_	_	
79-14	56789-56795	decken	_	_	
79-15	56796-56802	können	_	_	
79-16	56803-56804	,	_	_	
79-17	56805-56809	geht	*->40-1	non-literal-mwe[40]	
79-18	56810-56813	nun	_	_	
79-19	56814-56819	einer	_	_	
79-20	56820-56824	nach	_	_	
79-21	56825-56828	dem	_	_	
79-22	56829-56836	anderen	_	_	
79-23	56837-56841	über	*->40-2	*[40]	
79-24	56842-56846	Bord	*->40-3	*[40]	
79-25	56847-56848	.	_	_	

#Text=Nordwestlich von Borkum ging ein Seemann über Bord .
81-1	56987-56999	Nordwestlich	_	_	
81-2	57000-57003	von	_	_	
81-3	57004-57010	Borkum	_	_	
81-4	57011-57015	ging	*->41-1	non-literal[41]	
81-5	57016-57019	ein	_	_	
81-6	57020-57027	Seemann	_	_	
81-7	57028-57032	über	*->41-2	*[41]	
81-8	57033-57037	Bord	*->41-3	*[41]	
81-9	57038-57039	.	_	_	

#Text=Nach Angaben der russischen Regierung gehen jährlich 1.000 Kubikmeter flüssiger und 2.000 Kubikmeter fester Atommüll über Bord - sowohl vor der russischen als auch vor der norwegischen Nordküste .
83-1	57600-57604	Nach	_	_	
83-2	57605-57612	Angaben	_	_	
83-3	57613-57616	der	_	_	
83-4	57617-57627	russischen	_	_	
83-5	57628-57637	Regierung	_	_	
83-6	57638-57643	gehen	*->42-1	non-literal[42]	
83-7	57644-57652	jährlich	_	_	
83-8	57653-57658	1.000	_	_	
83-9	57659-57669	Kubikmeter	_	_	
83-10	57670-57679	flüssiger	_	_	
83-11	57680-57683	und	_	_	
83-12	57684-57689	2.000	_	_	
83-13	57690-57700	Kubikmeter	_	_	
83-14	57701-57707	fester	_	_	
83-15	57708-57716	Atommüll	_	_	
83-16	57717-57721	über	*->42-2	*[42]	
83-17	57722-57726	Bord	*->42-3	*[42]	
83-18	57727-57728	-	_	_	
83-19	57729-57735	sowohl	_	_	
83-20	57736-57739	vor	_	_	
83-21	57740-57743	der	_	_	
83-22	57744-57754	russischen	_	_	
83-23	57755-57758	als	_	_	
83-24	57759-57763	auch	_	_	
83-25	57764-57767	vor	_	_	
83-26	57768-57771	der	_	_	
83-27	57772-57784	norwegischen	_	_	
83-28	57785-57794	Nordküste	_	_	
83-29	57795-57796	.	_	_	

#Text=Nicht nur die Ausgewogenheit soll beim " Zeitsprung " über Bord gehen .
85-1	58742-58747	Nicht	_	_	
85-2	58748-58751	nur	_	_	
85-3	58752-58755	die	_	_	
